folder,filename,filer,doctype,filing_date,description,source_url,bytes,onedrive_url
01_Filings/10Q,2025-08-07_CHRS_10Q_EX-32-1.pdf,CHRS,EX-32.1,2025-08-07,EX-32.1,https://www.sec.gov/Archives/edgar/data/1512762/000155837025010803/chrs-20250630xex32d1.htm,47720,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQAA5Qt5szw6QaCNtnO0LZzbAdGZcqmdvC5Gkl3Fst7ry8E?e=D0dv0M
01_Filings/10Q,2025-08-07_CHRS_10Q_Q2-2025.pdf,CHRS,10-Q,2025-08-07,10-Q,https://www.sec.gov/Archives/edgar/data/1512762/000155837025010803/chrs-20250630x10q.htm,1025924,
01_Filings/10Q,2025-11-06_CHRS_10Q_EX-31-1.pdf,CHRS,EX-31.1,2025-11-06,EX-31.1,https://www.sec.gov/Archives/edgar/data/1512762/000110465925107852/chrs-20250930xex31d1.htm,39973,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQDHNawPPCI_T4SE8qo71qZBAV2aI7vaEHerAX0GYTS-ymo?e=cPEBIg
01_Filings/10Q,2025-11-06_CHRS_10Q_EX-31-2.pdf,CHRS,EX-31.2,2025-11-06,EX-31.2,https://www.sec.gov/Archives/edgar/data/1512762/000110465925107852/chrs-20250930xex31d2.htm,39666,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQBAm-dM85ogT47zUCviHfLNARil1mseSnpBaICvx3BRkww?e=DSmUii
01_Filings/10Q,2025-11-06_CHRS_10Q_EX-32-1.pdf,CHRS,EX-32.1,2025-11-06,EX-32.1,https://www.sec.gov/Archives/edgar/data/1512762/000110465925107852/chrs-20250930xex32d1.htm,47717,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQCQ_C1QLcT9RZlaOdNbpx5lAUiW6RK-YD8dRboMA9TGu-Q?e=IHcUaD
01_Filings/10Q,2025-11-06_CHRS_10Q_Q3-2025.pdf,CHRS,10-Q,2025-11-06,10-Q,https://www.sec.gov/Archives/edgar/data/1512762/000110465925107852/chrs-20250930x10q.htm,1008799,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQAwllN-Kx4qRL_3Ib6DmOtUAXBpZPW_xBRwLJ6Lj7srTK0?e=RFlh4q
01_Filings/10Q,2026-05-11_CHRS_10Q_EX-31-1.pdf,CHRS,EX-31.1,2026-05-11,EX-31.1,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331xex31d1.htm,39503,
01_Filings/10Q,2026-05-11_CHRS_10Q_EX-31-2.pdf,CHRS,EX-31.2,2026-05-11,EX-31.2,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331xex31d2.htm,39184,
01_Filings/10Q,2026-05-11_CHRS_10Q_EX-32-1.pdf,CHRS,EX-32.1,2026-05-11,EX-32.1,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331xex32d1.htm,47364,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQDHsoGGUNtkQbXGNdFynL0ZAatRLPtY3UvdBjPOMTT4TUA?e=BOYH6Q
01_Filings/10Q,2026-05-11_CHRS_10Q_Q1-2026.pdf,CHRS,10-Q,2026-05-11,10-Q,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,935705,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQBrpL40YkVpQpi6TRsgz64GATO7gQhgLVUcivkpPtR7UKU?e=ABInKj
01_Filings/8K,2025-04-01_CHRS_8K_EX-4-1.pdf,CHRS,EX-4.1,2025-04-01,EX-4.1,https://www.sec.gov/Archives/edgar/data/1512762/000155837025004264/chrs-20250331xex4d1.htm,123279,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQAGyKeRLIaZSqIBVo_dd_q-ATYIYdUYwgJT8YREp15U9PE?e=eTPC2h
01_Filings/8K,2025-04-01_CHRS_8K_EX-99-1.pdf,CHRS,EX-99.1,2025-04-01,EX-99.1,https://www.sec.gov/Archives/edgar/data/1512762/000155837025004264/chrs-20250331xex99d1.htm,147702,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQC30iEXa5lrR4F67htgwcMsAUuaUYG6PgbvXTqE1aQ-ZMc?e=Scy7fZ
01_Filings/8K,2025-04-01_CHRS_8K_items-1-01_8-01_9-01.pdf,CHRS,8-K,2025-04-01,8-K,https://www.sec.gov/Archives/edgar/data/1512762/000155837025004264/chrs-20250331x8k.htm,88595,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQAYvzflL5J4T5irUfOkjDQiAcvHJOwTbe6suzUOEH-GQqw?e=I0vQwh
